index,target
0,19.09503718740911
1,21.209404829031318
2,22.08956570785511
3,20.45479294116997
4,26.69190435059245
5,26.053308774563277
6,29.768356662388694
7,27.943452164937867
8,30.677924370872276
9,30.54727123029387
10,35.068235951048685
11,32.04929960795006
12,29.429178248441946
13,28.583444801400187
14,28.191558577449634
15,34.07224226987899
16,26.114323790595495
17,27.082911687993473
18,24.18184508161435
19,23.616614996017883
20,23.121479169774634
21,23.195835663253803
22,15.463304086135421
23,19.965442845870555
24,16.094492531632927
25,15.468930191570747
26,18.422923209177334
27,13.833121993124854
28,15.776677456949887
29,13.798049661319986
30,19.51848545895327
31,18.51990284189698
32,16.735321575874327
33,14.782937236091882
34,18.688752926176207
35,17.702240133276035
36,22.938262932642285
37,22.852417263565513
38,23.744996300020528
39,24.105721347299138
40,28.552022034820776
41,31.556473335465757
42,31.4226718749685
43,30.247081771548114
44,35.0990894453846
45,31.83775295312837
46,38.134600625938454
47,33.8298584656114
48,34.57199110815332
49,37.17973525279215
50,37.52410317800163
51,37.60823978361957
52,36.96747387683934
53,31.63624783902453
54,35.07601059744031
55,32.22206239669061
56,28.557225858875736
57,33.0664597469453
58,27.496867668860087
59,24.93506212124935
60,28.81904184149399
61,27.4375330900187
62,26.523002040772365
63,23.96599831253911
64,21.931000630949715
65,22.103774086412148
66,18.846992353714633
67,23.568631793276015
68,20.29274987091676
69,22.089540193644716
70,20.79570596766531
71,23.689419851088516
72,26.86894509152537
73,24.430654536064843
74,26.54509825356563
75,28.901146180445465
76,27.806532595309697
77,28.781555195116507
78,31.676180859095048
79,30.187490091629968
80,30.62462519995644
81,37.235223480036254
82,36.95965369560257
83,39.62048563142429
84,37.85609404908792
85,45.025399576185116
86,41.91004915773113
87,43.31870579178709
88,45.21940554496472
89,43.23267823931909
90,43.0529746477579
91,42.259312724992284
92,42.15359865721771
93,37.74994474620622
94,40.36062444947122
95,40.9644091076617
96,38.942134440600164
97,37.92399132212534
98,34.16295747673294
99,35.13234731860012
100,33.9170429345175
101,27.093308133811927
102,28.49920067612846
103,27.994414106090023
104,28.148430060751043
105,29.774338799034947
106,30.47604688390232
107,30.533430826985843
108,30.63509669721542
109,30.613423129959415
110,29.496729558787173
111,29.469444048903267
112,34.323980581393165
113,35.2144684262477
114,33.32479737255502
115,34.24003894368297
116,40.08035789233456
117,36.77349039809642
118,40.025554069154914
119,45.13005437640714
120,43.26696134392358
121,47.74725427141442
122,46.69527329223279
123,44.33186410997515
124,45.75424725478821
125,49.493546184619866
126,51.60681854288054
127,46.25524199266566
128,45.75919420521149
129,46.33314177475472
130,46.393051213283854
131,47.058529469750496
132,45.650475734892474
133,47.09510568762113
134,44.569678789865655
135,44.757096741255275
136,40.893532084955254
137,37.83849905076002
138,39.089616693895294
139,39.03297762717252
140,38.92390302421982
141,39.25706315395357
142,37.38740185938802
143,34.42464612718555
144,33.069922296416
145,35.71965856700737
146,32.87998200975715
147,35.59364814998325
148,36.288221431905875
149,38.324794235323466
150,36.381490873081084
151,36.046214517591395
152,37.699295670703506
153,42.292542513973565
154,41.46276591329688
155,44.25625101068809
156,46.21167757792668
157,44.23385137572191
158,50.16434715843793
159,47.18420003454514
160,50.51244719728378
161,52.553463799432095
162,54.76811835708244
163,52.38398207579066
164,52.074165180894944
165,56.30999115400783
166,54.440846287231224
167,54.369212349950175
168,58.625344456410254
169,55.307250558781206
170,55.66612191711919
171,54.76067425728119
172,51.39894002123837
173,50.27388756417625
174,45.795677791572
175,50.58014898292197
176,50.7140319682657
177,48.68172648718728
178,44.9006437943506
179,45.92903151406092
180,41.66956353931864
181,44.09094313617913
182,41.302080508830564
183,43.40537142585142
184,39.129129388081545
185,41.853154085645905
186,39.372294320400655
187,41.96684051331747
188,43.47734988106313
189,40.77291909791758
190,39.549327992114414
191,45.86474444188109
192,45.29448486445229
193,47.750640918697265
194,51.51550200735702
195,49.54088566829362
196,51.118860526904655
197,55.859832121029044
198,54.72806543850856
199,56.331216933825324
200,59.837918444734605
201,61.46210856870717
202,60.25902184878451
203,64.48188636054003
204,59.92371206809048
205,61.1780194208086
206,61.783858328476235
207,63.42812778341539
208,65.25219615492526
209,58.231658814857184
210,58.8820358090841
211,61.195616688365
212,58.80813908414652
213,59.53183797746962
214,54.285281660563484
215,56.608672004082095
216,49.8254516344326
217,50.345952625848355
218,50.249980990580355
219,46.47112127830315
220,49.053316845453075
221,45.39151500170556
222,48.12128215105483
223,45.6544669347611
224,46.724711852208266
225,45.99243437564798
226,44.72627202478818
227,51.69798350480344
228,48.417500699653836
229,53.1617261776114
230,50.72392832357677
231,54.173880418058424
232,55.19616599338052
233,58.356240801196414
234,59.80715924045891
235,58.922871909656116
236,60.29697162763015
237,61.63893235014834
238,62.15199604467461
239,66.75597992222163
240,66.41014051355197
241,68.2426024822055
242,67.41980433519781
243,67.26527322707723
244,65.9515895645651
245,71.10029740337612
246,66.95400201857953
247,65.73370173719537
248,68.17239335716435
249,64.41255006803665
250,62.76799591822845
251,61.22664162070068
252,64.3117037356074
253,61.06688542572755
254,60.27014000117811
255,64.40858418174044
256,54.877488886489374
257,55.21216007752638
258,53.855350725677894
259,57.40750184726538
260,52.41304154338029
261,51.09159768882046
262,50.82106107129074
263,53.33353737401488
264,53.66671888129494
265,57.927345980914986
266,52.95711751081439
267,56.30605442645141
268,57.80638021086873
269,58.37887929384698
270,59.33943136000794
271,60.56012173326232
272,58.8313313308528
273,61.93329643502564
274,63.73304264484014
275,65.84902272144745
276,68.40867345507795
277,69.41198198282638
278,73.90248823851749
279,73.97261314547204
280,70.38232297126903
281,73.56933072583736
282,74.71861575474328
283,71.65640568701227
284,74.58906945350238
285,76.82314076112708
286,72.69790163929409
287,75.08740910978561
288,70.21753522777061
289,69.38758332676196
290,68.01712917744501
291,64.47888057177337
292,66.78236615278628
293,67.20854105570763
294,63.362442630792806
295,64.94176047923094
